x,y
81.87291,-80.9691
82.36612,-79.7691
82.85933,-80.9691
83.35254,-80.9691
83.84575,-80.9691
84.33896,-80.9691
84.83217,-79.7691
85.32538,-79.7691
85.81859,-80.9691
86.3118,-80.9691
86.80501,-80.9691
87.29822,-80.9691
87.79143,-80.9691
88.28464,-80.9691
88.77785,-79.7691
89.27106,-80.9691
89.76427,-80.9691
90.25748,-80.9691
90.75069,-80.9691
91.2439,-80.9691
91.73711,-80.9691
92.23032,-79.7691
92.72353,-79.7691
93.21674,-80.9691
93.70995,-80.9691
94.20316,-80.9691
94.69637,-77.7691
95.18958,-80.9691
95.68279,-80.9691
96.176,-80.9691
96.66921,-79.7691
97.16242,-77.3691
97.65563,-80.9691
98.14884,-80.9691
98.64205,-80.9691
99.13526,-80.9691
99.62847,-80.9691
100.12168,-80.9691
100.61489,-79.7691
101.1081,-79.7691
101.60131,-79.7691
102.09452,-80.9691
102.58773,-80.9691
103.08094,-77.7691
103.57415,-74.5691
104.06736,-74.5691
104.56057,-79.7691
105.05378,-80.9691
105.54699,-79.7691
106.0402,-76.9691
106.53341,-79.7691
107.02662,-79.7691
107.51983,-80.9691
108.01304,-80.9691
108.50625,-77.7691
108.99946,-79.7691
109.49267,-80.9691
109.98588,-80.9691
110.47909,-80.9691
110.9723,-80.9691
111.46551,-79.7691
111.95872,-72.9691
112.45193,-69.7691
112.94514,-70.9691
113.43835,-80.9691
113.93156,-65.7691
114.42477,-56.9691
114.91798,-53.3691
115.41119,-53.7691
115.9044,-54.5691
116.39761,-54.5691
116.89082,-56.9691
117.38403,-64.9691
117.87724,-79.7691
118.37045,-79.7691
118.86366,-71.7691
119.35687,-71.7691
119.85008,-80.9691
120.34329,-80.9691
120.8365,-80.9691
121.32971,-80.9691
121.82292,-80.9691
122.31613,-80.9691
122.80934,-80.9691
123.30255,-80.9691
123.79576,-80.9691
124.28897,-80.9691
124.78218,-80.9691
125.27539,-80.9691
125.7686,-80.9691
126.26181,-79.7691
126.75502,-75.7691
127.24823,-76.9691
127.74144,-80.9691
128.23465,-80.9691
128.72786,-80.9691
129.22107,-80.9691
129.71428,-80.9691
130.20749,-80.9691
130.7007,-80.9691
131.19391,-77.3691
131.68712,-80.9691
132.18033,-80.9691
132.67354,-80.9691
133.16675,-77.7691
133.65996,-79.7691
134.15317,-80.9691
134.64638,-80.9691
135.13959,-80.9691
135.6328,-80.9691
136.12601,-80.9691
136.61922,-80.9691
137.11243,-80.9691
137.60564,-80.9691
138.09885,-80.9691
138.59206,-79.7691
139.08527,-80.9691
139.57848,-80.9691
140.07169,-80.9691
140.5649,-80.9691
141.05811,-80.9691
141.55132,-80.9691
142.04453,-80.9691
142.53774,-80.9691
143.03095,-80.9691
143.52416,-80.9691
144.01737,-80.9691
144.51058,-79.7691
145.00379,-76.9691
145.497,-79.7691
145.99021,-80.9691
146.48342,-80.9691
146.97663,-80.9691
147.46984,-79.7691
147.96305,-80.9691
148.45626,-80.9691
148.94947,-80.9691
149.44268,-80.9691
149.93589,-79.7691
150.4291,-80.9691
150.92231,-80.9691
151.41552,-80.9691
151.90873,-80.9691
152.40194,-80.9691
152.89515,-80.9691
153.38836,-80.9691
153.88157,-80.9691
154.37478,-80.9691
154.86799,-80.9691
155.3612,-80.9691
155.85441,-80.9691
156.34762,-80.9691
156.84083,-80.9691
157.33404,-80.9691
157.82725,-80.9691
158.32046,-80.9691
158.81367,-80.9691
159.30688,-80.9691
159.80009,-80.9691
160.2933,-80.9691
160.78651,-80.9691
161.27972,-80.9691
161.77293,-80.9691
